"year","mean_shw_v","mean_shw_s","mean_shw_t","shw_v_lag3","shw_v_lag4","shw_s_lag3","shw_s_lag4","shw_t_lag3","shw_t_lag4","mean_dpth","mean_bt","min_bt","max_bt","sd_bt","mean_bs","min_bs","max_bs","sd_bs","mean_tri","mean_sed","total_cpue","bt_lag3","bt_lag4","bs_lag3","bs_lag4","cp_ext","cp_ext_lag3","cp_ext_lag4","cp_pers","cp_pers_lag3","cp_pers_lag4"
2015,2824.68275,33.1525,12.4175,3697.88,4271.874,32.87,32.596,12.7216666666667,10.778,79.0289855072464,11.6163279420656,7.46662802249193,15.3960692211986,2.1858422131569,NA,NA,NA,NA,2.47424486819385,51.2753623188406,238.223977068395,10.8335374099016,12.2998321563006,35.004363861084,35.2206592814128,-331.67188,-287.67188,26.328125,-1.5031062,-0.97850627,0.0063089174
2016,3785.9225,32.8725,12.89,3497.895,3697.88,33.135,32.87,10.0875,12.7216666666667,77.0139468503905,NA,NA,NA,NA,35.164690383757,33.918270111084,35.8302574157715,0.352784291246678,2.62783549455079,56.4747474747475,327.872466307176,NA,10.8335374099016,35.0300247641171,35.004363861084,-237.67188,-121.671875,-287.67188,-0.9918166,-0.968417,-0.97850627
2017,3824.44066666667,32.94,10.9633333333333,2582.15566666667,3497.895,33.0433333333333,33.135,12.4233333333333,10.0875,75.4896755162242,NA,NA,NA,NA,35.1375488798879,34.026611328125,35.9645385742188,0.372714858314959,2.57209800346411,53.6489675516224,1589.10531311003,NA,NA,35.0574729374477,35.0300247641171,53.328125,-365.67188,-121.671875,-0.06738402,-1.669209,-0.968417
2018,4093.341,32.775,13.085,2824.68275,2582.15566666667,33.1525,33.0433333333333,12.4175,12.4233333333333,78.7931769722814,NA,NA,NA,NA,NA,NA,NA,NA,2.50084606548553,55.5373134328358,2025.15389336207,11.6163279420656,NA,NA,35.0574729374477,79.328125,-331.67188,-365.67188,0.22752889,-1.5031062,-1.669209
2019,3241.61625,32.62,13.9075,3785.9225,2824.68275,32.8725,33.1525,12.89,12.4175,77.4631578947368,12.2014250619631,8.26059756428003,16.4127018079162,1.74017526371086,35.116917841058,33.8022994995117,36.1857948303223,0.419128624308391,2.58053148859426,54.5421052631579,480.594690030207,NA,11.6163279420656,35.164690383757,NA,-2.671875,-237.67188,-331.67188,-0.8255574,-0.9918166,-1.5031062
2021,2686.72366666667,32.8866666666667,14.8,3824.44066666667,3785.9225,32.94,32.8725,10.9633333333333,12.89,77.0277777777778,13.2233914274722,8.93737602978945,17.4871974885464,1.60066838949052,35.1802593443129,33.9330177307129,35.9177474975586,0.412759525294835,2.56508768780364,53.4666666666667,683.918254443708,NA,NA,NA,35.1375488798879,NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.75677775726,NA,NA,NA,NA,35.1533404758998,33.9075889587402,35.9813232421875,0.358990569540349,2.48073287693026,55.5824175824176,605.31074367719,NA,NA,35.1375488798879,35.164690383757,-244.67188,53.328125,-237.67188,-1.3138347,-0.06738402,-0.9918166
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9852082899408,NA,NA,NA,NA,NA,NA,NA,NA,2.8049020134133,55.8816568047337,629.945497986188,12.2014250619631,NA,35.116917841058,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.328125,NA,NA,-0.18061276,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.328125,NA,NA,-0.39337957,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.328125,NA,NA,0.694592,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.328125,19.328125,NA,0.16106884,-0.18061276,NA
