year,month,mean_cpue,GSI
2008,3,1.030955228,1.358988428
2008,4,0.483996643,0.263068606
2008,6,1.60130719,0.231724901
2008,7,0,0.029909007
2008,9,5.231464181,-0.506592674
2008,10,1.898641544,-0.083291934
2008,11,0.765802965,-0.030784433
2008,12,2.217533499,0.426822834
2009,1,2.163335454,-0.024576838
2009,2,1.157086392,0.398201736
2009,3,0.432539683,0.544970842
2009,4,2.45973797,0.220831896
2009,5,2.395604396,0.488133307
2009,6,0,0.143826332
2009,8,0,1.018744801
2009,9,0,1.549474944
2009,10,1.368959219,1.199018775
2009,11,1.465129671,0.788168108
2009,12,1.853237245,0.884297417
2010,1,2.382221543,1.335686623
2010,2,4.739296362,0.677084602
2010,3,7.519338708,-0.094927616
2010,4,5.728940133,0.625931008
2010,6,13.8975,0.407824598
2010,7,1.201637097,0.486699906
2010,8,0,0.149969165
2010,9,0.387445177,0.404597908
2010,10,2.6993482,-0.052614149
2010,11,1.205094653,-0.360487049
2010,12,3.445178724,-0.231212882
2011,1,7.118427488,-0.403406087
2011,3,5.97944459,-0.320021078
2011,4,2.302747025,-0.106023845
2011,5,0,-0.37303633
2011,6,0,0.16646742
2011,7,0,-0.184557211
2011,8,0,-0.347491108
2011,9,3.213764056,-0.015311519
2011,10,0,0.531935741
2011,12,1.602881115,0.223606431
2012,1,0.283844275,-0.45206255
2012,2,1.306123185,0.077267999
2012,3,0.380997721,0.983854863
2012,4,2.104907002,1.202910239
2012,7,0,0.734615885
2012,8,0,0.36649344
2012,9,0,0.316928833
2012,10,0.456591822,0.687299435
2012,11,2.258839166,0.5127202
2012,12,0,1.098186557
2013,1,0.333291813,1.077994612
2013,2,2.552193963,1.128099151
2013,3,2.967518404,0.75630958
2013,4,3.847045968,0.594018801
2013,5,0,0.540095574
2013,6,0,0.118810329
2013,7,0.240441176,0.133493465
2013,8,0.429630952,0.436435326
2013,9,0.321568319,0.815335512
2013,10,0.856109042,0.860534067
2013,11,2.840597776,0.998899771
2013,12,0,0.848745985
2014,1,2.309554185,0.643576163
2014,2,4.799037569,1.604839979
2014,3,1.27285851,1.25857191
2014,4,2.031953029,1.13091239
2014,5,1.423859175,0.977499122
2014,6,0.378602225,1.135558183
2014,7,0.097137456,1.067080073
2014,8,0,1.181903298
2014,9,0.04908377,1.151224337
2014,10,2.147892748,0.920669444
2014,11,2.835394897,0.824481549
2014,12,1.129095029,1.387536529
2015,1,0.112167613,1.777955804
2015,2,0.738812552,1.96338456
2015,3,3.29429386,1.455052102
2015,4,0.454316443,1.120753142
2015,5,0.262767857,0.865605476
2015,6,0,0.645854399
2015,7,0,0.942357871
2015,8,0,0.471255894
2015,9,0.014829932,1.931950184
2015,10,0,1.604329929
2015,11,0.863648057,1.754124647
2015,12,3.480653291,0.770420258
2016,1,1.695917124,1.439962164
2016,3,0.258790158,1.515363262
2016,4,2.166174426,1.459555695
2016,5,0,0.908719125
2016,6,0,1.42008244
2016,7,1.428035633,1.747900963
2016,8,0,2.114101969
2016,9,0.13974359,1.917749429
2016,10,1.723896179,1.593753171
2016,11,1.20295124,0.739435175
2016,12,2.27645233,0.693703067
2017,3,8.959370397,1.255917155
2017,5,0.723160819,0.396937763
2017,6,0,0.685721239
2017,7,0.050179028,1.58730243
2017,8,0.005105386,1.207736004
2017,9,3.179836195,0.97840572
2017,11,2.874221071,1.029055079
2017,12,8.03671649,0.96071796
2018,3,8.038549151,1.653378225
2018,5,0.396513831,1.315250471
2018,6,0.011560606,1.075463008
2018,7,0.587567275,0.850946013
2018,8,0.009041762,0.695500625
2018,9,0,0.968128241
2018,11,0.766271503,1.250442289
2018,12,1.901902721,1.167595787
2019,1,0.830454024,0.860279417
2019,2,1.172343961,1.743641883
2019,3,2.509809341,1.655934677
2019,5,0.174474249,1.599444506
2019,6,0.050810687,1.215261728
2019,7,0.04478633,1.729432223
2019,8,0,1.870714608
2019,9,0,1.925469946
2019,11,1.498599573,1.794371372
2020,3,4.728357572,1.666380466
2020,4,11.80061955,0.97038557
2020,5,0,1.239524314
2020,6,0.023696682,0.920184198
2020,7,0,0.862155124
2020,8,0.033333333,0.94744802
2020,10,0.160041032,1.560500409
2020,11,1.479890994,1.201531641
2020,12,0.949968199,1.174447861
2021,1,2.666412559,1.384780837
2021,2,1.779115323,1.568281802
2021,3,2.012213008,1.400878831
2021,4,2.936818569,1.369396176
2021,5,0.333000333,1.519348169
2021,6,0,1.414892836
2021,7,0.136677116,1.068850984
2021,8,0,1.134734422
2021,9,0.222844444,1.332030618
2021,10,0.393033382,1.480438358
2021,12,3.476680648,0.562834376
2022,4,1.644476029,0.872334096
2022,5,0.847457627,1.56573601
2022,6,0.030913866,1.525904865
2022,7,0,1.392130133
2022,8,0,1.504596414
2022,11,0.772995703,1.42336283
2022,12,4.437660654,1.146662414
