"year","month","weighted_mean_sal_92m","mean_sal_92m","median_sal_92m","sd_sal_92m","max_sal_92m","min_sal_92m"
1998,7,34.5477943318181,34.634885970743,34.7849960327148,0.525950115302875,35.9645385742188,32.3709831237793
1998,8,34.7470643228755,34.836703572391,34.9360618591309,0.471098971431112,35.9614868164062,32.5022125244141
1998,9,34.9802556571042,35.0379212501722,35.0321960449219,0.294765036988756,35.9263877868652,33.718376159668
1998,10,34.741695204485,34.7851319198671,34.8048324584961,0.384994478044419,35.9736938476562,32.7814559936523
1998,11,34.6096646064725,34.6475150018676,34.6995468139648,0.346316503389208,35.706657409668,33.2010879516602
1998,12,34.5441580663671,34.6051183536263,34.6842842102051,0.47287728245148,35.6120491027832,32.399974822998
1999,1,34.9724943105365,35.0333646348108,35.0856056213379,0.431133991296094,36.0347290039062,32.9477844238281
1999,2,35.1139854021058,35.1247493383586,35.1557960510254,0.28154039166887,35.9752197265625,33.4864349365234
1999,3,35.0069883275498,35.005769977076,35.0169372558594,0.274315698098172,36.1140785217285,33.7290573120117
1999,4,34.9450768759457,34.9589990308433,35.0169372558594,0.331393886859077,35.814998626709,33.5489959716797
1999,5,34.8646562022135,34.8831762910861,34.9162254333496,0.300831880073367,36.0484619140625,33.4574432373047
1999,6,34.8938031251622,34.9339900129735,34.9497985839844,0.304582699671529,36.178165435791,33.5261077880859
1999,7,35.2498685568167,35.3006263529171,35.3862113952637,0.314739731626405,36.268196105957,34.2402420043945
1999,8,35.3047679294833,35.3496197253469,35.4182548522949,0.271114399256473,36.2849807739258,34.6293525695801
1999,9,35.5581685746658,35.5697622033703,35.5433807373047,0.257713227854421,36.3307609558105,34.7987289428711
1999,10,35.7220299669646,35.7299989355268,35.7295455932617,0.179784740412096,36.213264465332,35.0199890136719
1999,11,35.7848997639124,35.7892879004007,35.8073654174805,0.156767233627155,36.321605682373,35.0199890136719
1999,12,35.6841661070507,35.7011503291499,35.7142868041992,0.19859925361662,36.1323890686035,34.9192771911621
2000,1,35.4119991948512,35.4375623533746,35.4503021240234,0.265672619659175,36.0713539123535,34.437084197998
2000,2,35.1531206022983,35.1975077929876,35.2137832641602,0.323971092333234,35.9797973632812,33.4116630554199
2000,3,35.0997962266511,35.1552741686165,35.2473526000977,0.395144568517514,35.937068939209,33.1980361938477
2000,4,35.259808475403,35.3003919680622,35.3953666687012,0.357893750273716,35.9218101501465,33.1598854064941
2000,5,35.4582205439359,35.4673135999274,35.4792938232422,0.143152427484323,35.8775596618652,34.1486854553223
2000,6,35.3561812685274,35.3683890122634,35.4930267333984,0.293204893237022,35.8256797790527,34.1807289123535
2000,7,35.174903606088,35.1836181779456,35.2061538696289,0.267027496268534,36.2163162231445,33.936580657959
2000,8,35.1938429136075,35.2358891005833,35.2336196899414,0.26079077084574,36.231575012207,34.177677154541
2000,9,35.3149058992135,35.354692317278,35.4152030944824,0.402062526050942,36.5855903625488,33.3521537780762
2000,10,35.1999533611151,35.2468673627624,35.4060478210449,0.509640982243334,36.274299621582,33.5642585754395
2000,11,34.7041485768805,34.7536889389467,34.6842842102051,0.422357987002946,36.5428619384766,33.5581512451172
2000,12,35.0358550226594,35.1153593138855,35.0917091369629,0.46888395518385,36.6145820617676,33.4330253601074
2001,1,35.1249424651843,35.1341652681427,35.1756324768066,0.382471189143496,36.2407302856445,33.3063735961914
2001,2,34.9885498796443,34.9755714704453,35.0489807128906,0.331739808093514,36.3872184753418,33.1995620727539
2001,3,34.7389789561764,34.753716948071,34.7926254272461,0.313095630925936,35.9813232421875,33.1308937072754
2001,4,34.9164409020078,34.9710662688091,35.0215148925781,0.513687237690804,36.1430702209473,33.0500183105469
2001,5,35.0554452276917,35.105651187908,35.2671890258789,0.538253285845757,36.2041091918945,32.9554138183594
2001,6,35.1496936216576,35.1849507996742,35.3312797546387,0.506010096097672,36.2605667114258,32.9203147888184
2001,7,35.3330647247533,35.3614023655537,35.4564056396484,0.346876346998653,36.0118408203125,33.2529678344727
2001,8,35.4211322771158,35.4634656217607,35.5204925537109,0.289771044365308,36.0881385803223,33.591724395752
2001,9,35.279218505852,35.3357063633473,35.4228324890137,0.424161865908346,36.194953918457,32.5022125244141
2001,10,35.2343776540308,35.2918553927626,35.4655609130859,0.464215848897936,36.0301513671875,32.8089218139648
2001,11,35.3552889370343,35.3973990925939,35.4930267333984,0.417025173820621,36.1583290100098,33.930477142334
2001,12,35.2714961633012,35.316563902743,35.4571685791016,0.456744628615155,36.0698280334473,33.5154266357422
2002,1,35.3632084752153,35.4175752281199,35.5082855224609,0.417013810767167,36.1629066467285,33.6481819152832
2002,2,34.8382837932466,34.8891525637848,35.1084938049316,0.680992807581067,36.0560913085938,32.4381217956543
2002,3,34.7459796323203,34.7831660553198,34.9971008300781,0.652482116709483,35.7585372924805,32.7372055053711
2002,4,34.7988227225334,34.8832198782282,35.1222267150879,0.654969883580691,35.8561973571777,33.0347595214844
2002,5,34.8273355696106,34.87925249429,35.0825538635254,0.521003085480688,35.6929244995117,32.8653831481934
2002,6,35.007725099557,35.0690192263351,35.1588478088379,0.449679177997725,36.0499877929688,33.2605972290039
2002,7,35.1614169139715,35.2258801747056,35.2168350219727,0.393226076707971,36.1323890686035,33.9091148376465
